,airline,manufacturer,model
N691CA,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N693DL,757-232,BOEING,757-232
N695CA,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N696DL,757-232,BOEING,757-232
N69804,737-924ER,BOEING,737-924ER
N69806,737-924ER,BOEING,737-924ER
N69810,737-924ER,BOEING,737-924ER
N69813,737-924ER,BOEING,737-924ER
N69816,737-924ER,BOEING,737-924ER
N69818,737-924ER,BOEING,737-924ER
N69819,737-924ER,BOEING,737-924ER
N69824,737-924ER,BOEING,737-924ER
N69826,737-924ER,BOEING,737-924ER
N69829,737-924ER,BOEING,737-924ER
N69830,737-924ER,BOEING,737-924ER
N69833,737-924ER,BOEING,737-924ER
N69835,737-924ER,BOEING,737-924ER
N69838,737-924ER,BOEING,737-924ER
N69839,737-924ER,BOEING,737-924ER
N69840,737-924ER,BOEING,737-924ER
N69847,737-924ER,BOEING,737-924ER
N69885,737-924ER,BOEING,737-924ER
N69888,737-924ER,BOEING,737-924ER
N700AA,TURBO COURIER,JENSEN JAY A,TURBO COURIER
N700GS,737-7H4,BOEING,737-7H4
N700UW,A319-112,AIRBUS INDUSTRIE,A319-112
N701AA,ZENITH CH 701,SMITH ROLAND W,ZENITH CH 701
N701GS,737-7H4,BOEING,737-7H4
N701UW,A319-112,AIRBUS INDUSTRIE,A319-112
N702AA,TBM 700,SOCATA,TBM 700
N702UW,A319-112,AIRBUS INDUSTRIE,A319-112
N703JB,A320-232,AIRBUS,A320-232
N703SW,737-7H4,BOEING,737-7H4
N703TW,757-2Q8,BOEING,757-2Q8
N703UW,A319-112,AIRBUS INDUSTRIE,A319-112
N704AA,150M,CESSNA,150M
N704SW,737-7H4,BOEING,737-7H4
N704US,A319-112,AIRBUS INDUSTRIE,A319-112
N705AA,727-200,BOEING,727-200
N705JB,A320-232,AIRBUS,A320-232
N705SK,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N705SW,737-7H4,BOEING,737-7H4
N705UW,A319-112,AIRBUS INDUSTRIE,A319-112
N706JB,A320-232,AIRBUS,A320-232
N706SW,737-7H4,BOEING,737-7H4
N707EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N707SA,737-7H4,BOEING,737-7H4
N708AA,727-223,BOEING,727-223
N708EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N708JB,A320-232,AIRBUS,A320-232
N708SW,737-7H4,BOEING,737-7H4
N708UW,A319-112,AIRBUS INDUSTRIE,A319-112
N709AA,G-V,GULFSTREAM AEROSPACE,G-V
N709EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N709JB,A320-232,AIRBUS,A320-232
N709SW,737-7H4,BOEING,737-7H4
N709UW,A319-112,AIRBUS INDUSTRIE,A319-112
N710EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N710SW,737-7H4,BOEING,737-7H4
N710TW,757-2Q8,BOEING,757-2Q8
N710UW,A319-112,AIRBUS INDUSTRIE,A319-112
N711AA,B-60,BEECH,B-60
N711HK,737-7H4,BOEING,737-7H4
N711UW,A319-112,AIRBUS INDUSTRIE,A319-112
N712EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N712JB,A320-232,AIRBUS,A320-232
N712SW,737-7H4,BOEING,737-7H4
N712US,A319-112,AIRBUS INDUSTRIE,A319-112
N713EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N713SW,737-7H4,BOEING,737-7H4
N713UW,A319-112,AIRBUS INDUSTRIE,A319-112
N714CB,737-7H4,BOEING,737-7H4
N714US,A319-112,AIRBUS INDUSTRIE,A319-112
N715JB,A320-232,AIRBUS,A320-232
N715SW,737-7H4,BOEING,737-7H4
N715UW,A319-112,AIRBUS INDUSTRIE,A319-112
N716EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N716SW,737-7H4,BOEING,737-7H4
N716UW,A319-112,AIRBUS INDUSTRIE,A319-112
N717EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N717JL,717-200,BOEING,717-200
N717SA,737-7H4,BOEING,737-7H4
N717UW,A319-112,AIRBUS INDUSTRIE,A319-112
N718EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N718SW,737-7H4,BOEING,737-7H4
N718TW,757-231,BOEING,757-231
N719EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N719SW,737-7H4,BOEING,737-7H4
N720EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N720WN,737-7H4,BOEING,737-7H4
N721AA,172K,CESSNA,172K
N721UW,A319-112,AIRBUS INDUSTRIE,A319-112
N722AA,172M,CESSNA,172M
N722EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N722TW,757-231,BOEING,757-231
N722US,A319-112,AIRBUS INDUSTRIE,A319-112
N723EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N723SW,737-7H4,BOEING,737-7H4
N723UW,A319-112,AIRBUS INDUSTRIE,A319-112
N724AA,B200,RAYTHEON AIRCRAFT COMPANY,B200
N724EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N724SW,737-7H4,BOEING,737-7H4
N724UW,A319-112,AIRBUS INDUSTRIE,A319-112
N725SW,737-7H4,BOEING,737-7H4
N725UW,A319-112,AIRBUS INDUSTRIE,A319-112
N726SW,737-7H4,BOEING,737-7H4
N727SW,737-7H4,BOEING,737-7H4
N727TW,757-231,BOEING,757-231
N728SW,737-7H4,BOEING,737-7H4
N729JB,A320-232,AIRBUS,A320-232
N729SW,737-7H4,BOEING,737-7H4
N730EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N730SW,737-7H4,BOEING,737-7H4
N730US,A319-112,AIRBUS INDUSTRIE,A319-112
N731SA,737-7H4,BOEING,737-7H4
N73251,737-824,BOEING,737-824
N73256,737-824,BOEING,737-824
N73259,737-824,BOEING,737-824
N73270,737-824,BOEING,737-824
N73275,737-824,BOEING,737-824
N73276,737-824,BOEING,737-824
N73278,737-824,BOEING,737-824
N73283,737-824,BOEING,737-824
N73291,737-824,BOEING,737-824
N732AA,BAE 125-800A,RAYTHEON CORPORATE JETS INC,BAE 125-800A
N732SW,737-7H4,BOEING,737-7H4
N732US,A319-112,AIRBUS INDUSTRIE,A319-112
N733SA,737-7H4,BOEING,737-7H4
N733UW,A319-112,AIRBUS INDUSTRIE,A319-112
N73445,737-924ER,BOEING,737-924ER
N734SA,737-7H4,BOEING,737-7H4
N735SA,737-7H4,BOEING,737-7H4
N736SA,737-7H4,BOEING,737-7H4
N737AA,172N,CESSNA,172N
N737JW,737-7H4,BOEING,737-7H4
N737US,A319-112,AIRBUS INDUSTRIE,A319-112
N73860,757-33N,BOEING,757-33N
N738CB,737-7H4,BOEING,737-7H4
N738EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N738US,A319-112,AIRBUS INDUSTRIE,A319-112
N739GB,737-7H4,BOEING,737-7H4
N740EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N740SW,737-7H4,BOEING,737-7H4
N740UW,A319-112,AIRBUS INDUSTRIE,A319-112
N741EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N741SA,737-7H4,BOEING,737-7H4
N741UW,A319-112,AIRBUS INDUSTRIE,A319-112
N742PS,A319-112,AIRBUS INDUSTRIE,A319-112
N742SW,737-7H4,BOEING,737-7H4
N743SW,737-7H4,BOEING,737-7H4
N744EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N744P,A319-112,AIRBUS INDUSTRIE,A319-112
N744SW,737-7H4,BOEING,737-7H4
N745AA,PA-32-300,PIPER,PA-32-300
N745SK,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N745SW,737-7H4,BOEING,737-7H4
N745VJ,A319-112,AIRBUS INDUSTRIE,A319-112
N746JB,A320-232,AIRBUS,A320-232
N746SW,737-7H4,BOEING,737-7H4
N746UW,A319-112,AIRBUS INDUSTRIE,A319-112
N747SA,737-7H4,BOEING,737-7H4
N747UW,A319-112,AIRBUS INDUSTRIE,A319-112
N74856,757-324,BOEING,757-324
N748EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N748SW,737-7H4,BOEING,737-7H4
N748UW,A319-112,AIRBUS INDUSTRIE,A319-112
N749SW,737-7H4,BOEING,737-7H4
N749US,A319-112,AIRBUS INDUSTRIE,A319-112
N750AA,Z750,RICHARD DOUGLAS KLUGOW,Z750
N750EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N750SA,737-7H4,BOEING,737-7H4
N750UW,A319-112,AIRBUS INDUSTRIE,A319-112
N751AA,750,CESSNA,750
N751EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N751SW,737-7H4,BOEING,737-7H4
N751UW,A319-112,AIRBUS INDUSTRIE,A319-112
N752EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N752SW,737-7H4,BOEING,737-7H4
N752US,A319-112,AIRBUS INDUSTRIE,A319-112
N753EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N753US,A319-112,AIRBUS INDUSTRIE,A319-112
N75425,737-924ER,BOEING,737-924ER
N75426,737-924ER,BOEING,737-924ER
N75428,737-924ER,BOEING,737-924ER
N75429,737-924ER,BOEING,737-924ER
N75432,737-924ER,BOEING,737-924ER
N75433,737-924ER,BOEING,737-924ER
N75436,737-924ER,BOEING,737-924ER
N754EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N754SW,737-7H4,BOEING,737-7H4
N754UW,A319-112,AIRBUS INDUSTRIE,A319-112
N755EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N755SA,737-7H4,BOEING,737-7H4
N755US,A319-112,AIRBUS INDUSTRIE,A319-112
N756AA,35-33,BEECH,35-33
N756SA,737-7H4,BOEING,737-7H4
N756US,A319-112,AIRBUS INDUSTRIE,A319-112
N757AA,152,CESSNA,152
N757LV,737-7H4,BOEING,737-7H4
N757UW,A319-112,AIRBUS INDUSTRIE,A319-112
N75851,757-324,BOEING,757-324
N75853,757-324,BOEING,757-324
N75854,757-324,BOEING,757-324
N75858,757-324,BOEING,757-324
N75861,757-33N,BOEING,757-33N
N758AA,R172K,CESSNA,R172K
N758EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N758SW,737-7H4,BOEING,737-7H4
N758US,A319-112,AIRBUS INDUSTRIE,A319-112
N759EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N759GS,737-7H4,BOEING,737-7H4
N760EV,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N760JB,A320-232,AIRBUS,A320-232
N760SW,737-7H4,BOEING,737-7H4
N760US,A319-112,AIRBUS INDUSTRIE,A319-112
N761ND,CL-600-2C10,BOMBARDIER INC,CL-600-2C10
N761RR,737-7H4,BOEING,737-7H4
N76254,737-824,BOEING,737-824
N76265,737-824,BOEING,737-824
N76269,737-824,BOEING,737-824
N76288,737-824,BOEING,737-824
N762AA,M35,BEECH,M35
N762SW,737-7H4,BOEING,737-7H4
N762US,A319-112,AIRBUS INDUSTRIE,A319-112
N763JB,A320-232,AIRBUS,A320-232
N763SW,737-7H4,BOEING,737-7H4
N763US,A319-112,AIRBUS INDUSTRIE,A319-112
N764AA,172M,CESSNA,172M
N764SW,737-7H4,BOEING,737-7H4
N764US,A319-112,AIRBUS INDUSTRIE,A319-112
N76502,737-824,BOEING,737-824
N76503,737-824,BOEING,737-824
N76504,737-824,BOEING,737-824
N76505,737-824,BOEING,737-824
N76508,737-824,BOEING,737-824
N76514,737-824,BOEING,737-824
N76515,737-824,BOEING,737-824
N76516,737-824,BOEING,737-824
N76517,737-824,BOEING,737-824
N76519,737-824,BOEING,737-824
N76522,737-824,BOEING,737-824
N76523,737-824,BOEING,737-824
N76526,737-824,BOEING,737-824
N76528,737-824,BOEING,737-824
N76529,737-824,BOEING,737-824
N76532,737-824,BOEING,737-824
N76533,737-824,BOEING,737-824
N765AA,35-33,BEECH,35-33
N765SW,737-7H4,BOEING,737-7H4
N765US,A319-112,AIRBUS INDUSTRIE,A319-112
N766JB,A320-232,AIRBUS,A320-232
N766SW,737-7H4,BOEING,737-7H4
N766US,A319-112,AIRBUS INDUSTRIE,A319-112
N767AA,VANS RV-8,HENDERSON THOMAS F,VANS RV-8
N767SW,737-7H4,BOEING,737-7H4
N767UW,A319-112,AIRBUS INDUSTRIE,A319-112
N768AA,777-223,BOEING,777-223
N768JB,A320-232,AIRBUS,A320-232
N768SW,737-7H4,BOEING,737-7H4
N768US,A319-112,AIRBUS INDUSTRIE,A319-112
N769SW,737-7H4,BOEING,737-7H4
N769US,A319-112,AIRBUS INDUSTRIE,A319-112
N7701B,737-76N,BOEING,737-76N
N7702A,737-7BD,BOEING,737-7BD
N7703A,737-76N,BOEING,737-76N
N7704B,737-7BD,BOEING,737-7BD
N7705A,737-76N,BOEING,737-76N
N7706A,737-76N,BOEING,737-76N
N7707C,737-76N,BOEING,737-76N
N7708E,737-76N,BOEING,737-76N
N7709A,737-76N,BOEING,737-76N
N770AA,A36,BEECH,A36
N770SA,737-7H4,BOEING,737-7H4
N770UW,A319-112,AIRBUS INDUSTRIE,A319-112
N7710A,737-76N,BOEING,737-76N
N7711N,737-76N,BOEING,737-76N
N7712G,737-76N,BOEING,737-76N
N7713A,737-7BD,BOEING,737-7BD
N7714B,737-76N,BOEING,737-76N
N7715E,737-7BD,BOEING,737-7BD
N7716A,737-76N,BOEING,737-76N
N7717D,737-76N,BOEING,737-76N
N7718B,737-76N,BOEING,737-76N
N7719A,737-76N,BOEING,737-76N
N771SA,737-7H4,BOEING,737-7H4
N7720F,737-7BD,BOEING,737-7BD
N7721E,737-7BD,BOEING,737-7BD
N7722B,737-76N,BOEING,737-76N
N7723E,737-76N,BOEING,737-76N
N7724A,737-7BD,BOEING,737-7BD
N77258,737-824,BOEING,737-824
N7725A,737-76N,BOEING,737-76N
N77261,737-824,BOEING,737-824
N7726A,737-7BD,BOEING,737-7BD
N7727A,737-76N,BOEING,737-76N
N7728D,737-7BD,BOEING,737-7BD
N7729A,737-76N,BOEING,737-76N
N772SW,737-7H4,BOEING,737-7H4
N7730A,737-7BD,BOEING,737-7BD
N7731A,737-76N,BOEING,737-76N
N7732A,737-7BD,BOEING,737-7BD
N7733B,737-76N,BOEING,737-76N
N7734H,737-7BD,BOEING,737-7BD
N7735A,737-7BD,BOEING,737-7BD
N7736A,737-7BD,BOEING,737-7BD
N7737E,737-7BD,BOEING,737-7BD
N7738A,737-7BD,BOEING,737-7BD
N7739A,737-7BD,BOEING,737-7BD
N773SA,737-7H4,BOEING,737-7H4
N7740A,737-7BD,BOEING,737-7BD
N7741C,737-7BD,BOEING,737-7BD
N7742B,737-7BD,BOEING,737-7BD
N77430,737-924ER,BOEING,737-924ER
N77431,737-924ER,BOEING,737-924ER
N7743B,737-7BD,BOEING,737-7BD
N7744A,737-7BD,BOEING,737-7BD
N7745A,737-7BD,BOEING,737-7BD
N7746C,737-7BD,BOEING,737-7BD
N7747C,737-7BD,BOEING,737-7BD
N7748A,737-7BD,BOEING,737-7BD
N7749B,737-7BD,BOEING,737-7BD
N774SW,737-7H4,BOEING,737-7H4
N7750A,737-7BD,BOEING,737-7BD
N77510,737-824,BOEING,737-824
N77518,737-824,BOEING,737-824
N7751A,737-7BD,BOEING,737-7BD
N77520,737-824,BOEING,737-824
N77525,737-824,BOEING,737-824
N7752B,737-7BD,BOEING,737-7BD
N77530,737-824,BOEING,737-824
N77535,737-824,BOEING,737-824
N77536,737-824,BOEING,737-824
N77537,737-800,BOEING,737-800
N77538,737-800,BOEING,737-800
N775JB,A320-232,AIRBUS,A320-232
N775SW,737-7H4,BOEING,737-7H4
N776WN,737-7H4,BOEING,737-7H4
N777QC,737-7H4,BOEING,737-7H4
N77865,757-33N,BOEING,757-33N
N77867,757-33N,BOEING,757-33N
N77871,757-33N,BOEING,757-33N
N778SW,737-7H4,BOEING,737-7H4
N779JB,A320-232,AIRBUS,A320-232
N779SW,737-7H4,BOEING,737-7H4
N780SW,737-7H4,BOEING,737-7H4
N7811F,737-76N,BOEING,737-76N
N7812G,737-76N,BOEING,737-76N
N7813P,737-7K9,BOEING,737-7K9
N7814B,737-7K9,BOEING,737-7K9
N7815L,737-76Q,BOEING,737-76Q
N7816B,737-7L9,BOEING,737-7L9
N7817J,737-7L9,BOEING,737-7L9
N7818L,737-76N,BOEING,737-76N
N7819A,737-7Q8,BOEING,737-7Q8
N781WN,737-7H4,BOEING,737-7H4
N7820L,737-79P,BOEING,737-79P
N7821L,737-7CT,BOEING,737-7CT
N7822A,737-76N,BOEING,737-76N
N7823A,737-7CT,BOEING,737-7CT
N7824A,737-7BK,BOEING,737-7BK
N7825A,737-7CT,BOEING,737-7CT
N7826B,737-79P,BOEING,737-79P
N7827A,737-79P,BOEING,737-79P
N78285,737-824,BOEING,737-824
N7828A,737-7CT,BOEING,737-7CT
N7829B,737-7CT,BOEING,737-7CT
N782SA,737-7H4,BOEING,737-7H4
N7830A,737-7L9,BOEING,737-7L9
N7831B,737-7CT,BOEING,737-7CT
N7832A,737-79P,BOEING,737-79P
N7833A,737-79P,BOEING,737-79P
N7834A,737-752,BOEING,737-752
N7835A,737-752,BOEING,737-752
N7836A,737-7L9,BOEING,737-7L9
N7837A,737-752,BOEING,737-752
N7838A,737-73V,BOEING,737-73V
N7839A,737-73V,BOEING,737-73V
N783SW,737-7H4,BOEING,737-7H4
N7840A,737-73V,BOEING,737-73V
N7841A,737-7L9,BOEING,737-7L9
N7842A,737-73V,BOEING,737-73V
N78438,737-924ER,BOEING,737-924ER
N7843A,737-752,BOEING,737-752
N7844A,737-752,BOEING,737-752
N7845A,737-71B,BOEING,737-71B
N7846A,737-76N,BOEING,737-76N
N7847A,737-752,BOEING,737-752
N7848A,737-752,BOEING,737-752
N7849A,737-71B,BOEING,737-71B
N784JB,A320-232,AIRBUS,A320-232
N784SW,737-7H4,BOEING,737-7H4
N78501,737-824,BOEING,737-824
N78506,737-824,BOEING,737-824
N78509,737-824,BOEING,737-824
N7850B,737-7Q8,BOEING,737-7Q8
N78511,737-824,BOEING,737-824
N7851A,737-7Q8,BOEING,737-7Q8
N78524,737-824,BOEING,737-824
N7852A,737-71B,BOEING,737-71B
N7853B,737-7Q8,BOEING,737-7Q8
N7854B,737-71B,BOEING,737-71B
N7855A,737-79P,BOEING,737-79P
N7856A,737-7Q8,BOEING,737-7Q8
N7857B,737-79P,BOEING,737-79P
N7858A,737-79P,BOEING,737-79P
N785SW,737-7H4,BOEING,737-7H4
N786SW,737-7H4,BOEING,737-7H4
N7873A,737-7Q8,BOEING,737-7Q8
N7874B,737-7Q8,BOEING,737-7Q8
N7875A,737-7Q8,BOEING,737-7Q8
N7876A,737-7Q8,BOEING,737-7Q8
N7877H,737-7Q8,BOEING,737-7Q8
N7878A,737-7K9,BOEING,737-7K9
N7879A,737-7K9,BOEING,737-7K9
N787SA,737-7H4,BOEING,737-7H4
N7880D,737-7K5,BOEING,737-7K5
N7881A,737-7CT,BOEING,737-7CT
N7882B,737-76Q,BOEING,737-76Q
N7883A,737-76Q,BOEING,737-76Q
N7884G,737-76N,BOEING,737-76N
N7885A,737-76N,BOEING,737-76N
N78866,757-33N,BOEING,757-33N
N788SA,737-7H4,BOEING,737-7H4
N789JB,A320-232,AIRBUS,A320-232
N789SW,737-7H4,BOEING,737-7H4
N790SW,737-7H4,BOEING,737-7H4
N791SW,737-7H4,BOEING,737-7H4
N79279,737-824,BOEING,737-824
N792SW,737-7H4,BOEING,737-7H4
N793JB,A320-232,AIRBUS,A320-232
N793SA,737-7H4,BOEING,737-7H4
N794JB,A320-232,AIRBUS,A320-232
N794SW,737-7H4,BOEING,737-7H4
N79521,737-824,BOEING,737-824
N795SW,737-7H4,BOEING,737-7H4
N796JB,A320-232,AIRBUS,A320-232
N796SW,737-7H4,BOEING,737-7H4
N797MX,737-7H4,BOEING,737-7H4
N798SW,737-7AD,BOEING,737-7AD
N799SW,737-7Q8,BOEING,737-7Q8
N801AA,PA-31-350,PIPER,PA-31-350
N801AW,A319-132,AIRBUS INDUSTRIE,A319-132
N801DZ,737-932ER,BOEING,737-932ER
N801UA,A319-131,AIRBUS INDUSTRIE,A319-131
N802AA,208B,CESSNA,208B
N802AW,A319-132,AIRBUS INDUSTRIE,A319-132
N802DN,737-932ER,BOEING,737-932ER
N802UA,A319-131,AIRBUS INDUSTRIE,A319-131
N803AA,AT-802A,AIR TRACTOR INC,AT-802A
N803AW,A319-132,AIRBUS INDUSTRIE,A319-132
N803DN,737-932ER,BOEING,737-932ER
N803UA,A319-131,AIRBUS INDUSTRIE,A319-131
N804AA,AT-802,AIR TRACTOR INC,AT-802
N804AW,A319-132,AIRBUS INDUSTRIE,A319-132
N804DN,737-932ER,BOEING,737-932ER
N804JB,A320-232,AIRBUS,A320-232
N804UA,A319-131,AIRBUS INDUSTRIE,A319-131
N805AW,A319-132,AIRBUS INDUSTRIE,A319-132
N805DN,737-932ER,BOEING,737-932ER
N805JB,A320-232,AIRBUS,A320-232
N805UA,A319-131,AIRBUS INDUSTRIE,A319-131
N806AA,787-8,BOEING,787-8
N806AW,A319-132,AIRBUS INDUSTRIE,A319-132
N806DN,737-932ER,BOEING,737-932ER
N806JB,A320-232,AIRBUS,A320-232
N806UA,A319-131,AIRBUS INDUSTRIE,A319-131
N807AA,787-8,BOEING,787-8
N807AW,A319-132,AIRBUS INDUSTRIE,A319-132
N807DN,737-932ER,BOEING,737-932ER
N807JB,A320-232,AIRBUS,A320-232
N807UA,A319-131,AIRBUS INDUSTRIE,A319-131
N808AW,A319-132,AIRBUS INDUSTRIE,A319-132
N808DN,737-932ER,BOEING,737-932ER
N808UA,A319-131,AIRBUS INDUSTRIE,A319-131
N809AA,787-8,BOEING,787-8
N809AW,A319-132,AIRBUS INDUSTRIE,A319-132
N809DN,737-932ER,BOEING,737-932ER
N809JB,A320-232,AIRBUS,A320-232
N809UA,A319-131,AIRBUS INDUSTRIE,A319-131
N810AW,A319-132,AIRBUS INDUSTRIE,A319-132
N810DN,737-932ER,BOEING,737-932ER
N810UA,A319-131,AIRBUS INDUSTRIE,A319-131
N811DZ,737-932ER,BOEING,737-932ER
N811UA,A319-131,AIRBUS INDUSTRIE,A319-131
N812AA,787-8,BOEING,787-8
N812AW,A319-132,AIRBUS INDUSTRIE,A319-132
N812DN,737-932ER,BOEING,737-932ER
N812UA,A319-131,AIRBUS INDUSTRIE,A319-131
N813AW,A319-132,AIRBUS INDUSTRIE,A319-132
N813DN,737-932ER,BOEING,737-932ER
N813UA,A319-131,AIRBUS INDUSTRIE,A319-131
N81449,737-924ER,BOEING,737-924ER
N814AA,787-8,BOEING,787-8
N814AW,A319-132,AIRBUS INDUSTRIE,A319-132
N814DN,737-932ER,BOEING,737-932ER
N814UA,A319-131,AIRBUS INDUSTRIE,A319-131
N815AA,787-8,BOEING,787-8
N815AW,A319-132,AIRBUS INDUSTRIE,A319-132
N815DN,737-932ER,BOEING,737-932ER
N815UA,A319-131,AIRBUS INDUSTRIE,A319-131
N816AA,787-8,BOEING,787-8
N816AW,A319-132,AIRBUS INDUSTRIE,A319-132
N816DN,737-932ER,BOEING,737-932ER
N816UA,A319-131,AIRBUS INDUSTRIE,A319-131
N817AW,A319-132,AIRBUS INDUSTRIE,A319-132
N817DN,737-932ER,BOEING,737-932ER
N817UA,A319-131,AIRBUS INDUSTRIE,A319-131
N818AW,A319-132,AIRBUS INDUSTRIE,A319-132
N818DA,737-932ER,BOEING,737-932ER
N818UA,A319-131,AIRBUS INDUSTRIE,A319-131
N819AW,A319-132,AIRBUS INDUSTRIE,A319-132
N819DN,737-932ER,BOEING,737-932ER
N819UA,A319-131,AIRBUS INDUSTRIE,A319-131
N820AW,A319-132,AIRBUS INDUSTRIE,A319-132
N820DN,737-932ER,BOEING,737-932ER
N820UA,A319-131,AIRBUS INDUSTRIE,A319-131
N821AW,A319-132,AIRBUS INDUSTRIE,A319-132
N821DN,737-932ER,BOEING,737-932ER
N821JB,A320-232,AIRBUS,A320-232
N821UA,A319-131,AIRBUS INDUSTRIE,A319-131
N822AA,FAN JET FALCON,DASSAULT/SUD,FAN JET FALCON
N822AW,A319-132,AIRBUS INDUSTRIE,A319-132
N822DN,737-932ER,BOEING,737-932ER
N822DX,757-26D,BOEING,757-26D
N822UA,A319-131,AIRBUS INDUSTRIE,A319-131
N823AW,A319-132,AIRBUS INDUSTRIE,A319-132
N823DN,737-932ER,BOEING,737-932ER
N823UA,A319-131,AIRBUS INDUSTRIE,A319-131
N824AA,M20K,MOONEY AIRCRAFT CORP.,M20K
N824AW,A319-132,AIRBUS INDUSTRIE,A319-132
N824DN,737-932ER,BOEING,737-932ER
N824UA,A319-131,AIRBUS INDUSTRIE,A319-131
N825AA,787-9,BOEING,787-9
N825AW,A319-132,AIRBUS INDUSTRIE,A319-132
N825DN,737-932ER,BOEING,737-932ER
N825UA,A319-131,AIRBUS INDUSTRIE,A319-131
N826AA,MYSTERE FALCON 20,DASSAULT AVIATION,MYSTERE FALCON 20
N826AW,A319-132,AIRBUS INDUSTRIE,A319-132
N826DN,737-932ER,BOEING,737-932ER
N826UA,A319-131,AIRBUS INDUSTRIE,A319-131
N827AA,FAN JET FALCON,DASSAULT/SUD,FAN JET FALCON
N827AW,A319-132,AIRBUS INDUSTRIE,A319-132
N827DN,737-932ER,BOEING,737-932ER
N827JB,A320-232,AIRBUS,A320-232
N827UA,A319-131,AIRBUS INDUSTRIE,A319-131
N828AA,787-9,BOEING,787-9
N828AW,A319-132,AIRBUS INDUSTRIE,A319-132
N828DN,737-932ER,BOEING,737-932ER
N828UA,A319-131,AIRBUS INDUSTRIE,A319-131
N829AW,A319-132,AIRBUS INDUSTRIE,A319-132
N829DN,737-932ER,BOEING,737-932ER
N829UA,A319-131,AIRBUS INDUSTRIE,A319-131
N8301J,737-8H4,BOEING,737-8H4
N8302F,737-8H4,BOEING,737-8H4
N8303R,737-8H4,BOEING,737-8H4
N8305E,737-8H4,BOEING,737-8H4
N8306H,737-8H4,BOEING,737-8H4
N8307K,737-8H4,BOEING,737-8H4
N8308K,737-8H4,BOEING,737-8H4
N8309C,737-8H4,BOEING,737-8H4
N830AW,A319-132,AIRBUS INDUSTRIE,A319-132
N830DN,737-932ER,BOEING,737-932ER
N830UA,A319-131,AIRBUS INDUSTRIE,A319-131
N8310C,737-8H4,BOEING,737-8H4
N8311Q,737-8H4,BOEING,737-8H4
N8312C,737-8H4,BOEING,737-8H4
N8313F,737-8H4,BOEING,737-8H4
N8314L,737-8H4,BOEING,737-8H4
N8315C,737-8H4,BOEING,737-8H4
N8316H,737-8H4,BOEING,737-8H4
N8317M,737-8H4,BOEING,737-8H4
N8318F,737-8H4,BOEING,737-8H4
N8319F,737-8H4,BOEING,737-8H4
N831AA,787-9,BOEING,787-9
N831AW,A319-132,AIRBUS INDUSTRIE,A319-132
N831DN,737-932ER,BOEING,737-932ER
N831UA,A319-131,AIRBUS INDUSTRIE,A319-131
N8320J,737-8H4,BOEING,737-8H4
N8321D,737-8H4,BOEING,737-8H4
N8322X,737-8H4,BOEING,737-8H4
N8323C,737-8H4,BOEING,737-8H4
N8324A,737-8H4,BOEING,737-8H4
N8325D,737-8H4,BOEING,737-8H4
N8327A,737-8H4,BOEING,737-8H4
N8328A,737-8H4,BOEING,737-8H4
N8329B,737-8H4,BOEING,737-8H4
N832AA,787-9,BOEING,787-9
N832AW,A319-132,AIRBUS INDUSTRIE,A319-132
N832DN,737-932ER,BOEING,737-932ER
N832UA,A319-131,AIRBUS INDUSTRIE,A319-131
N833AA,787-9,BOEING,787-9
N833AW,A319-132,AIRBUS,A319-132
N833DN,737-932ER,BOEING,737-932ER
